date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.44e.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D9%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.44f.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D10%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.450.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D10%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.451.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D11%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.452.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D11%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.453.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D12%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.454.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D12%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.455.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.456.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26page%3D1)
21:32:30	11595/11595	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:26%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De4%26wr_id%3D1%26page%3D0	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/login99f5.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=1&page=0)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.458.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=12&page=1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.459.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=12&page=1)
